Medicine Name,Uses,Manufacturer
Avastin 400mg Injection,Cancer of colon and rectum Non-small cell lung cancer Kidney cancer Brain tumor Ovarian cancer Cervical cancer,Roche Products India Pvt Ltd
Augmentin 625 Duo Tablet,Treatment of Bacterial infections,Glaxo SmithKline Pharmaceuticals Ltd
Azithral 500 Tablet,Treatment of Bacterial infections,Alembic Pharmaceuticals Ltd
Ascoril LS Syrup,Treatment of Cough with mucus,Glenmark Pharmaceuticals Ltd
Aciloc 150 Tablet,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease,Cadila Pharmaceuticals Ltd
Allegra 120mg Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions,Sanofi India Ltd
Avil 25 Tablet,Treatment of Allergic conditionsTreatment of Respiratory disease with excessive mucusTreatment of Skin conditions with inflammation & itchingTreatment and prevention of Meniere's disease,Sanofi India Ltd
Aricep 5 Tablet, Alzheimer's disease,Eisai Pharmaceuticals India Pvt Ltd
Amoxyclav 625 Tablet,Treatment of Bacterial infections,Abbott
Atarax 25mg Tablet,Treatment of AnxietyTreatment of Skin conditions with inflammation & itching,Dr Reddy's Laboratories Ltd
Azee 500 Tablet,Treatment of Bacterial infections,Cipla Ltd
Anovate Cream,Treatment of Piles,USV Ltd
Allegra-M Tablet,Treatment of Sneezing and runny nose due to allergies,Sanofi India Ltd
Ascoril D Plus Syrup Sugar Free,Treatment of Dry cough,Glenmark Pharmaceuticals Ltd
Alex Syrup,Treatment of Dry cough,Glenmark Pharmaceuticals Ltd
Armotraz Tablet, Breast cancer,Cipla Ltd
Augmentin Duo Oral Suspension,Treatment of Resistance Tuberculosis (TB)Treatment of Bacterial infections,Glaxo SmithKline Pharmaceuticals Ltd
Albendazole 400mg Tablet,Treatment of Parasitic infections,Cadila Pharmaceuticals Ltd
Arkamin Tablet,Treatment of Hypertension (high blood pressure),Torrent Pharmaceuticals Ltd
Allegra 180mg Tablet,Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions,Sanofi India Ltd
Altraday Capsule SR, Pain relief,Sun Pharmaceutical Industries Ltd
Atarax 10mg Tablet,Treatment of AnxietyTreatment of Skin conditions with inflammation & itching,Dr Reddy's Laboratories Ltd
Aldigesic-SP Tablet, Pain relief,Alkem Laboratories Ltd
Aldactone Tablet, Hypertension (high blood pressure) Edema Low potassium Heart failure,RPG Life Sciences Ltd
Aricep 10 Tablet, Alzheimer's disease,Eisai Pharmaceuticals India Pvt Ltd
Aricep-M  Tablet, Alzheimer's disease,Eisai Pharmaceuticals India Pvt Ltd
Andre I-Kul Eye Drop,Treatment of Allergic eye disease,Intas Pharmaceuticals Ltd
Anafortan 25 mg/300 mg Tablet,Treatment of Abdominal pain,Abbott
Atarax Syrup,Treatment of AnxietyTreatment of Skin conditions with inflammation & itching,Dr Reddy's Laboratories Ltd
Ambrodil-S Syrup,Treatment of Cough,Aristo Pharmaceuticals Pvt Ltd
Asthakind-DX Syrup Sugar Free,Treatment of Dry cough,Mankind Pharma Ltd
